VDD,Corner,Temperature,Power
0.6,FF,70,1.6449080158772742e-08
0.6,FF,27,7.027983028206484e-09
0.6,TT,27,1.1452749671674985e-08
0.6,TT,0,1.332249023389003e-09
0.6,TT,70,2.5264590985043245e-08
0.6,FF,0,1.7837410308731073e-08
0.8,FF,70,8.808448050914105e-08
0.8,FF,27,8.012968354997287e-08
0.8,TT,27,1.3331187336836448e-08
0.8,TT,0,1.950935345445796e-08
0.8,TT,70,2.272389961459621e-08
0.8,FF,0,7.703143368723439e-08
0.45,FF,70,1.7666723032920276e-08
0.45,FF,27,1.5230375224369666e-08
0.45,TT,27,5.655844248519096e-09
0.45,TT,0,3.5153042799999873e-09
0.45,TT,70,1.1182967947351146e-08
0.45,FF,0,1.3921479512875632e-08
0.55,FF,70,2.5155472438045965e-08
0.55,FF,27,5.0281963817717726e-09
0.55,TT,27,1.8015166305933732e-08
0.55,TT,0,1.4516907052768312e-08
0.55,TT,70,2.2701777797865072e-08
0.55,FF,0,8.173657609623903e-09
0.7,FF,70,3.361024256014352e-08
0.7,FF,27,2.7652855638868985e-08
0.7,TT,27,7.756354197481573e-09
0.7,TT,0,1.6758300063627993e-08
0.7,TT,70,1.4683874816721956e-08
0.7,FF,0,3.480936756569798e-08
0.65,FF,70,1.7655758140001607e-08
0.65,FF,27,1.851805906342013e-09
0.65,TT,27,8.61470370839739e-10
0.65,TT,0,1.4336632756992792e-08
0.65,TT,70,2.0470786524183652e-08
0.65,FF,0,1.292653377834179e-09
0.75,FF,70,5.91487658793303e-08
0.75,FF,27,5.75253569571502e-08
0.75,TT,27,2.0084681065529252e-09
0.75,TT,0,2.925122738370468e-09
0.75,TT,70,1.4749699169091789e-08
0.75,FF,0,6.316661274151782e-08
0.5,FF,70,2.9068984018315243e-08
0.5,FF,27,1.9381193993220883e-08
0.5,TT,27,1.1316535578277958e-08
0.5,TT,0,8.974904171706638e-09
0.5,TT,70,1.4113564706498546e-08
0.5,FF,0,1.2990424279722937e-08
0.575,FF,70,2.045024223685284e-08
0.575,FF,27,3.351648647595421e-09
0.575,TT,27,1.638483508045833e-08
0.575,TT,0,8.719024725225086e-09
0.575,TT,70,2.531653662615793e-08
0.575,FF,0,3.3942650552154986e-08
